day,site,waterLevel
2017-10-23,TB Upland Well 3,0.04309715782052792
2017-10-23,TB Wetland Well Shallow,0.03870634892407143
2017-10-24,BB Wetland Well Shallow,-0.1670418788881328
2017-10-24,DB Wetland Well Shallow,0.0707820899313117
2017-10-24,DF Wetland Well Shallow,0.27962902338589435
2017-10-24,DK Upland Well 1,-0.3073230896246559
2017-10-24,DK Wetland Well Shallow,-0.09746692815202168
2017-10-24,GR Wetland Well Shallow,-0.5713903200833333
2017-10-24,ND Upland Well 1,-0.009156039034239385
2017-10-24,ND Wetland Well Shallow,0.09624913759797821
2017-10-24,QB Upland Well 1,0.19080759882048953
2017-10-24,TB Upland Well 2,-0.007960522395859143
2017-10-24,TB Upland Well 3,0.04010116102430645
2017-10-24,TB Wetland Well Shallow,0.037461579600072084
2017-10-25,BB Wetland Well Shallow,-0.16252143628580448
2017-10-25,DB Wetland Well Shallow,0.06620932106141769
2017-10-25,DF Wetland Well Shallow,0.2781281610160004
2017-10-25,DK Upland Well 1,-0.32463350675843866
2017-10-25,DK Wetland Well Shallow,-0.0927570583969155
2017-10-25,GR Wetland Well Shallow,-0.5664957792499999
2017-10-25,ND Upland Well 1,-0.027967710612466546
2017-10-25,ND Wetland Well Shallow,0.089635866519751
2017-10-25,QB Upland Well 1,0.18919945340892894
2017-10-25,TB Upland Well 2,-0.016887283224086492
2017-10-25,TB Upland Well 3,0.024159930432190217
2017-10-25,TB Wetland Well Shallow,0.031620533980178236
2017-10-26,BB Wetland Well Shallow,-0.1868477258019629
2017-10-26,DB Wetland Well Shallow,0.0542712132674815
2017-10-26,DF Wetland Well Shallow,0.27155880820817535
2017-10-26,DK Upland Well 1,-0.3351624181634858
2017-10-26,DK Wetland Well Shallow,-0.13512566459362946
2017-10-26,GR Wetland Well Shallow,-0.5798111084166666
2017-10-26,ND Upland Well 1,-0.042399529503625015
2017-10-26,ND Wetland Well Shallow,0.0713188436147038
2017-10-26,QB Upland Well 1,0.18132500062888163
2017-10-26,TB Upland Well 2,-0.024214698712467023
2017-10-26,TB Upland Well 3,0.006054641054920682
2017-10-26,TB Wetland Well Shallow,0.015403142880686463
2017-10-27,BB Wetland Well Shallow,-0.20437566276694036
2017-10-27,DB Wetland Well Shallow,0.03719082008028178
2017-10-27,DF Wetland Well Shallow,0.26368882347930894
2017-10-27,DK Upland Well 1,-0.3534349631701301
2017-10-27,DK Wetland Well Shallow,-0.17504530729471807
2017-10-27,GR Wetland Well Shallow,-0.6044763311666667
2017-10-27,ND Upland Well 1,-0.06694264437138023
2017-10-27,ND Wetland Well Shallow,0.04431848680250405
2017-10-27,QB Upland Well 1,0.16850300065001522
2017-10-27,TB Upland Well 2,-0.018930649510777872
2017-10-27,TB Upland Well 3,-0.019914311465612334
2017-10-27,TB Wetland Well Shallow,-0.0014775551398465904
